G,M20,C,A,z,d
0.317969831685057,-1.91969723616741,3.08519240285789,0.0597531598281595,0.86,0.776140903192588
0.546246233965843,-1.12093052356976,4.67756008435656,0.254202941602423,0.87,0.769764966913736
0.529400438239552,-1.84709501461145,4.11208859764104,0.187522637355329,0.69,0.794169194681158
0.556025871746221,-2.16190775518223,4.12559690124942,0.0468123851820364,0.67,0.616042174895359
0.414816921039937,-1.27704890443506,2.68805818096841,0.191988183215261,0.924,0.984729183603738
0.452404595774733,-0.913425785120902,1.4876160791946,0.471689533675703,0.61,0.545288746582964
0.473928758861614,-1.76000616881859,3.35869289468362,0.137389353043585,0.93,0.971818870490995
0.647470519330448,-1.8050425229258,3.38464402020785,0.216610455932461,0.92,0.991516213113188
0.570921994373696,-1.6599279492039,3.04589574356244,0.341466025940656,0.7,0.822190484893515
0.462785369888802,-1.10671264839795,2.60593158244362,0.137454009930792,0.86,0.776140903192588
0.572720567542585,-1.9705663394328,3.32016185480376,0.327424743084354,0.92,0.991516213113188
0.310941664222591,-1.58256497320367,3.42191729854469,0.102455878822589,0.7,0.822190484893515
0.194572453888236,-1.1186944271126,2.43110254793077,0.0743549171746949,0.61,0.545288746582964
0.49188446579584,-2.14132532308361,4.42034030349224,0.112604088648961,0.69,0.794169194681158
0.434318729496727,-1.55629823616202,2.64828305885273,0.0845634936499779,0.62,0.547888159129644
0.521675223384875,-1.93080130241019,4.03441935952638,0.112747799475302,0.82,0.388302096758578
0.407212506566423,-1.82441528183892,3.1643832128396,0.114337088508824,0.87,0.769764966913736
0.543500486585641,-1.70201342010422,2.7761404687301,0.162544963200145,0.88,0.763664564389277
0.391288035325712,-1.03598252949184,2.69837621395388,0.133512801995432,0.94,0.920343423592242
0.431476135188837,-0.728867742007536,1.7008310070439,0.190348157672255,0.93,0.971818870490995
0.5455349980767,-1.83694856312078,3.84324611890726,0.074488193321453,0.93,0.971818870490995
0.53842464675898,-2.00989019654107,3.99644254043675,0.12136301472557,0.93,0.971818870490995
0.429565051385261,-0.716163544480654,2.33055999785874,0.180404921258847,1.04,0.203640019444397
0.521753822655817,-1.93276816867042,4.26961795433654,0.0599091072265885,0.93,0.971818870490995
0.46621966882317,-1.19246114559857,2.61694463887785,0.13624471827057,0.95,0.820377323391621
0.489286841072509,-2.116821613184,3.82441939866726,0.154894745926746,0.926,0.980789715079299
0.510334024585621,-1.67272772701571,3.9797224974608,0.0940638909990939,0.93,0.971818870490995
0.496827900967057,-1.83266945515524,3.68365660609118,0.206393170559041,0.93,0.971818870490995
0.431504447398111,-1.03083073748632,2.52746896424258,0.17123435333724,0.93,0.971818870490995
0.491570486096947,-1.77843995925613,3.36736909740178,0.0348923736037439,0.8,0.304842242863277
