koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,status
40.4195037,0,0.911,3.362,6256,0.088069,1.89549,7.51,0.2062,89.05,467,11.29,54.7,5446,4.507,-0.54,0.781,0.714,CANDIDATE
2.243380573,0,0.915,1.1196,821.7,0.032248,1.50915,1.99,0.028,82.88,822,107.6,7.38,4149,4.698,-0.32,0.564,0.578,CONFIRMED
10.405998015,0,0.324,6.5036,14489,0.111248,0.38489,11.23,0.0855,88.57,833,113.94,13.012,5746,4.393,-0.54,0.924,0.77,FALSE POSITIVE
2.337437946,0,0.28,1.9982,971.2,0.027998,2.41093,2.34,0.0325,88.19,1070,311.16,8.86,5005,4.595,0.14,0.765,0.85,CONFIRMED
7.2406612,0,1.198,0.558,556.4,0.232818,8.66412,19.45,0.0692,87.62,734,68.63,28.8,5005,4.595,0.14,0.765,0.85,CANDIDATE
3.43591631,0,0.624,3.133,23.2,0.004612,0.47024,0.55,0.0437,84.62,1272,617.61,6.65,5779,4.339,-0.06,1.087,0.941,CANDIDATE
11.59822233,0,0.679,2.5237,2804.5,0.051287,3.14915,2.65,0.0798,88.62,396,5.82,28.2,3688,4.79,0,0.473,0.503,CONFIRMED
6.575315881,0,0.39,4.3084,2793.3,0.049152,0.64392,5.31,0.067,88.03,1015,251.38,11.37,5992,4.415,-0.32,0.989,0.927,CONFIRMED
7.275040844,0,0.547,7.5377,3001,0.051358,0.10578,4.86,0.0732,85.29,833,113.64,6.66,5485,4.556,0.21,0.867,0.986,CONFIRMED
19.27153892,0,0.031,2.7594,1219.8,0.031585,8.48241,1.93,0.1171,89.97,393,5.66,55.02,4077,4.702,-0.24,0.56,0.576,CONFIRMED
10.06524317,0,0.628,1.369,1053.3,0.031153,18.09666,1.91,0.076,89.22,488,13.43,45.9,4077,4.702,-0.24,0.56,0.576,CONFIRMED
12.3935651,0,0.883,3.8896,916.6,0.032536,0.27483,2.66,0.0983,86.13,677,49.68,13.07,5557,4.603,-0.4,0.75,0.832,CONFIRMED
43.84439721,0,0.852,6.802,615.2,0.025934,0.22039,2.87,0.2395,88.27,531,18.77,28.2,5854,4.406,-0.12,1.012,0.951,CONFIRMED
3.341913228,0,1.213,3.813,725.3,0.243351,0.01791,21.55,0.0415,56.44,1032,268.67,2.19,5295,4.551,-0.02,0.811,0.853,FALSE POSITIVE
1.626630225,0,1.26,2.1145,1620.6,0.305244,0.09631,32.43,0.026,58.03,1547,1355.88,2.38,5735,4.41,-0.18,0.973,0.889,FALSE POSITIVE
2.711504086,0,0.023,3.0099,837.5,0.026533,0.91618,3.12,0.0401,89.81,1420,960.79,7.088,6214,4.442,0.07,1.076,1.169,CONFIRMED
7.21203748,0,0.012,4.0491,950.4,0.028255,0.99867,3.32,0.077,89.95,1025,260.58,14.003,6214,4.442,0.07,1.076,1.169,CONFIRMED
14.1798187,0,0.1601,2.505,459.9,0.019561,7.76746,1.88,0.1137,89.95,711,60.35,43.54,5799,4.539,-0.1,0.878,0.975,FALSE POSITIVE
8.47237911,0,0.022,2.7245,1123.5,0.030119,3.86328,2.59,0.0778,89.95,751,75.44,24.47,5354,4.587,-0.08,0.788,0.884,CONFIRMED
60.4189369,0,0.094,5.039,931.3,0.027422,4.26444,2.36,0.2884,89.94,390,5.49,93.71,5354,4.587,-0.08,0.788,0.884,CONFIRMED
12.611904345,0,0.55,5.1497,6105.6,0.073758,0.61222,7.4,0.1058,88.17,753,76.15,17.27,5795,4.508,-0.02,0.919,0.992,CONFIRMED
1.433769925,0,1.268,1.8868,1976.3,0.318591,0.1372,46.58,0.0256,58.99,1920,3209.29,2.46,6017,4.22,0.02,1.339,1.083,FALSE POSITIVE
10.31872301,0,1.215,3.836,871.7,0.247006,0.03681,28.59,0.0944,78.15,876,139.26,5.92,5927,4.409,0.07,1.06,1.05,FALSE POSITIVE
2.539183147,0,0.238,2.4282,382.1,0.017724,1.46261,2.06,0.0355,88.28,1332,743.09,7.93,5519,4.35,0.14,1.062,0.921,CONFIRMED
6.770300385,0,0.838,2.0844,1304,0.037414,1.45164,2.77,0.064,86.84,812,102.87,15.21,5653,4.656,-0.84,0.679,0.767,CONFIRMED
0.444291966,0,1.258,2.0792,10967,0.396105,0.42351,27.51,0.0101,39.97,1836,2706.26,1.641,5255,4.678,-0.72,0.636,0.709,FALSE POSITIVE
10.181584004,0,0.92,3.5089,5741.1,0.084708,0.38059,7.73,0.0884,85.87,812,102.91,12.776,5988,4.541,-0.52,0.836,0.885,CANDIDATE
20.06036336,0,0.556,3.3203,1494.7,0.036455,3.09445,1.96,0.115,89.21,361,4,40.4,3950,4.754,-0.46,0.493,0.502,CONFIRMED
46.1842039,0,0.013,4.758,1394.7,0.033974,3.99779,1.83,0.2005,89.99,273,1.32,76.67,3950,4.754,-0.46,0.493,0.502,CONFIRMED
23.9800854,0,0.95,5.351,104,0.011879,0.05654,1.31,0.1602,85.45,649,41.94,11.98,5854,4.406,-0.12,1.012,0.951,CONFIRMED
