ra,dec,st_pmra,st_pmdec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
222.101134,-56.025931,-4.775,-15.261,1.725841,3.674,2710,15.0024,50469.2,4175,9.3529,321.671,7348,3.9,2.39,PC
217.022882,-64.634285,-49.039,-21.072,1.1923,3.119,3730,30.666,40771.2,3958,9.0039,209.919,6534,3.95,2.04,FP
133.968965,-75.926187,-4.136,11.358,1.4823278,2.2112354,1969.7733619,13.5330669,18194.0392248,2962.1157901,10.4291,582.521,7066,3.78,2.6647301,PC
133.826684,-73.173308,-21.883,19.084,0.9209526,1.8602735,360.8801529,5.7349089,32740.3629399,3430.7622437,10.11,490.288,6553,3.65,2.8908899,FP
189.775859,-74.57402,-50.359,-6.874,9.1885056,2.482,420,2.17371,72.0326,811,8.7215,79.5561,5876,4.48,0.98,PC
192.589285,-88.121111,-18.776,-18.086,10.1829419,2.8539875,715.1789153,3.2618091,196.6981446,955.1461191,8.7581,105.096,6153,4.34814,1.19977,CP
328.718171,-77.338802,224.864,-186.625,6.4409822,1.8342508,827.0970109,2.4623926,79.189,760.83,7.3661,23.606,4867,4.438,0.800152,PC
5.618525,-59.942589,-22.309,-4.893,3.1741657,2.678868,15677.3247721,14.755899,718.965491,1320.6774453,11.6714,342.14,5943,4.42524,1.15706,CP
9.126138,-83.567067,-0.23,1.169,20.07308,4.055,1230,4.18493,40.032,700,10.5135,205.43,6033,4.37,1.15,PC
319.551469,-77.529113,16.363,-5.515,2.6690078,1.7690728,3344.0407571,10.2264744,1697.6918898,1637.1349048,10.5891,262.794,5803.5,4.07,1.56013,FP
279.721286,-85.709137,147.495,-42.057,32.615593,7.1714486,8316.9093885,21.1719546,53.9630533,691.2639015,7.5622,70.0154,6058.6,4.2,1.39203,PC
146.053969,-89.471513,-18.368,8.978,10.8681705,2.33,1420,2.86547,15.9782,556,10.2809,79.5225,4664,4.55,0.76,PC
155.607863,-82.218869,9.065,2.896,4.0783475,5.772,6490,20.5222,9405.12,2743,10.0068,281.314,6501,4.08,1.75,PC
286.791829,-58.697242,3.879,-6.843,2.45466,2.331,4220,10.9489,1347.37,1687,9.6789,243.838,6610,4.15,1.64,FP
291.373783,-60.941042,15.517,-8.387,11.46597,1.698,7250,19.5843,48.7332,736,9.3871,312.461,7262,4,2.13,FP
163.628917,-87.269735,-5.215,-8.358,2.78186,2.456,490,4.92567,1323.21,1680,9.5162,292.085,6819,3.92,2.21,FP
328.710839,-77.337433,247.896,-157.626,6.44049,1.854,7920,4.90147,7.46851,460,9.66865,23.8853,3469,4.71,0.53,FP
27.699972,-75.848774,10.497,-3.836,5.00999,1.7024171,463.4617977,2.1930769,210.6675109,971.6707749,9.5268,94.4178,5551,4.46214,0.906282,PC
273.602061,-66.419974,-15.32,-38.643,2.2267,2.014,710,2.70289,728.698,1447,10.4055,167.598,5731,4.43,1.02,PC
55.933639,-65.19378,21.126,16.543,2.4997385,2.8686589,14600.5241179,13.8417956,907.8919959,1400.0008405,11.6035,302.448,5650,4.28867,1.13732,CP
293.389272,-45.892667,11.184,3.978,1.66255,3.285,6140,13.1846,6967.56,2545,10.4063,386.323,7301,4.23,1.64,FP
279.062469,-43.620606,6.138,10.755,1.62652,3.355,975.82,2.62267,2204.18,1908,10.3579,97.8115,5034,4.64,0.76,FP
289.761799,-43.074223,17.105,-55.58,13.5499,1.795,1180,6.24633,31.6652,660,9.7298,222.529,6209,4.09,1.63,FP
284.157959,-29.398357,17.883,-14.764,4.43651,3.365,1520,19.9664,8233.41,2653,8.7823,247.414,7101.9,3.91,2.32,FP
332.714337,-30.749719,-0.71,-14.516,3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,12.1893,448.637,6050,4.45061,1.02,CP
286.376004,-41.43764,12.538,-27.18,8.34998,1.836,16680,11.1424,19.9348,588,10.1429,58.2609,4236,4.52,0.74,CP
286.376004,-41.43764,12.538,-27.18,4.06719,1.783,2152.9,3.51616,48.044,733,10.1429,58.2609,4236,4.52,0.69,CP
248.433545,61.718334,-4.999,6.335,0.58603,0.712,430,5.55614,1042.07,1582,9.2872,222.74,5579,3.67,2.4,PC
294.824079,31.958037,-5.049,-28.421,1.80709,3.297,450,4.86242,7233.01,2569,9.11458,233.369,6244,3.84,2.2,FP
193.39637,85.129495,16.883,5.076,8.027722,4.4495072,5655.2593948,8.8184921,246.9255296,1011.0234946,9.02855,114.048,5962.7,4.38,1.15415,PC
192.184898,64.855276,0.937,-10.171,12.51781,4.065,2270,4.71512,77.6679,827,8.9361,84.5362,5729,4.47,0.98,PC
192.184898,64.855276,0.937,-10.171,6.2567421,3.4720806,915.2022508,3.0022701,210.125477,971.0451593,8.9361,84.5362,5729,4.47,0.977727,PC
192.184898,64.855276,0.937,-10.171,26.3218638,5.2070076,1596.1286202,4.037327,30.9400396,601.5198535,8.9361,84.5362,5729,4.47,0.977727,PC
192.184898,64.855276,0.937,-10.171,18.8047556,4.5912749,628.5897125,2.5408067,48.4454274,672.8727606,8.9361,84.5362,5729,4.47,0.977727,PC
291.463084,25.189437,1.467,-4.587,0.64971,2.076,620,6.23181,83182,4731,8.90601,395.12,9994,4.02,2.59,FP
304.034336,31.925687,18.077,6.707,4.47333,5.069,1130,7.0803,15455.7,3106,8.86193,238.726,7947,4.2,1.83,PC
63.374706,-69.226593,63.134,53.433,3.2886954,3.4446856,6999.7660072,10.5137018,759.3664302,1338.8520814,10.6103,216.526,5800,4.28004,1.24175,CP
297.710176,48.081864,125.984,232.988,4.887823,2.3598284,4238.701436,4.8745476,100.8660825,808.2692151,8.5077,37.7647,4757.3,4.56,0.77,CP
266.962207,83.428826,0.631,34.935,10.92746,1.928,4050,25.4722,104.906,891,8.36544,218.258,6259,3.59,2.92,FP
161.909027,71.655727,-56.184,-34.808,5.55111,4.315966,8593.673655,14.639162,784.4486528,1349.7734457,7.9179,96.5173,6403.9,4.16,1.54867,CP
6.70264,-56.316102,21.46,7.316,4.7433951,2.3154848,12080.0210007,9.8543559,209.7095167,970.5642367,13.0417,453.808,5377,4.42476,0.877585,CP
307.8599,39.938916,16.728,21.478,1.48112,3.853192,7181.553564,20.19176,33325.833481,3446.0125056,7.58204,204.455,9435,4.11,2.28773,CP
254.924043,64.699214,-6.159,24.32,21.7451721,4.7430179,812.7922606,2.8054712,34.6731643,618.8966315,9.3188,93.8819,5704,4.51,0.928499,PC
357.846434,-70.152862,96.185,-1.747,2.7986856,2.3314431,16558.5650089,11.7113684,332.53955,1089.132144,11.0443,149.942,4920,4.49371,0.906655,CP
232.146641,66.35871,0.434,-12.217,2.2552959,2.2808014,19190.1265259,13.8470865,846.4633514,1375.69383,9.76703,126.261,5787,4.5,0.962706,CP
301.710466,38.431023,8.657,-3.67,2.136,1.74,10663.6,17.6596,1607.76,1764,10.381,274.162,5969,4.17,1.55,FP
15.006077,-58.904724,22.522,7.594,3.5865861,3.3172838,5688.262909,16.423135,1787.4029258,1658.3468329,11.7806,603.955,5704.8,3.84,2.00441,CP
300.805115,52.040842,-5.735,-5.495,0.91397,1.955,883.802,10.9073,12286.1,2933,10.349,880.107,7875,3.61,3.34,FP
197.683097,70.768012,57.651,-92.555,7.06423,2.407,8740,9.22175,81.7324,837,10.2938,132.353,5429.6,4.44,0.96,PC
209.217175,68.618211,-81.077,45.498,8.95311,2.661,890,2.30695,44.0441,717,10.2549,94.6375,5029.5,4.61,0.76,PC
289.238688,31.323574,-9.775,-45.409,7.5039,3.002,2260,5.98408,168.934,1004,10.2026,216.517,6229,4.31,1.27,PC
247.35668,71.505873,-16.259,5.101,14.0077255,5.8747512,5946.0357404,12.4243549,264.4803785,1028.5327244,10.1772,295.561,6557.7,4.18,1.57435,PC
279.101036,55.391781,184.868,-42.647,2.6659,3.507,589.288,1.34277,353.396,1207,10.1358,36.7224,4043.4,4.69,0.5,FP
349.559266,-56.903986,313.918,-20.177,6.03446,2.053,1680,4.63917,139.428,957,9.179,94.1719,5586,4.36763,1.05,CP
214.555774,82.193764,84.408,-64.898,9.692137,2.823439,1555.34,2.847205,35.3448001,621.8721846,10.112,72.0238,4738.1,4.59,0.727165,PC
297.215817,64.354351,-5.676,0.188,2.1031932,4.0933082,6651.9349847,15.9778528,4095.3537825,2040.2933111,10.079,302.819,6122,3.93,1.92663,PC
272.20452,60.678785,64.887,138.082,5.7484109,1.798,890,2.31109,67.8818,799,9.9469,58.5946,4534,4.61,0.69,PC
297.459433,34.829667,19.777,11.228,1.19573,1.569,800,5.07792,1731.95,1797,9.94025,246.798,5997,4,1.73,FP
162.893176,81.322174,-2.083,-9.042,2.59415,1.061,810,5.08926,1154.73,1624,9.9002,221.071,6389,4.26,1.4,PC
99.238421,-58.016153,51.497,-205.6,5.5411063,2.481,490,1.96744,235.189,1090,9.2789,66.6187,5332,4.56429,0.82,PC
99.238421,-58.016153,51.497,-205.6,10.6917564,2.96,420,1.72548,42.4314,711,9.2789,66.6187,5332,4.56429,0.82,PC
283.526697,37.720014,1.209,-2.212,15.7335923,3.371,2640,27.8709,382.351,1231,9.7831,355.809,6800,3.91,2.21,PC
167.821481,69.964775,79.486,15.428,2.310602,1.5765492,6435.8900916,8.860766,640.6793398,1283.1573898,10.4782,149.667,5339.9,4.41,0.992671,PC
291.707693,17.808736,0.136,-0.736,5.54132,3.291,5370,30.8699,1967.84,1855,10.4318,424.442,6689,3.96,2.06,PC
293.26832,15.736136,8.576,-0.501,4.59463,4.604,4190,13.7794,2391.58,1948,10.4247,405.634,7649,4.04,2.12,PC
304.800032,32.581045,2.239,-0.113,3.61326,4.045,11410,18.5965,3597.19,2157,10.4219,470.878,8324,4.28,1.71,CP
166.880658,61.352572,-4.019,-33.35,3.67166,2.164,4340,10.4388,277.085,1136,10.4221,248.427,5618,4.06,1.54,PC
222.841424,82.952258,-32.468,28.147,0.83515,1.069,1960,7.17826,7547.82,2596,10.402,224.444,6105,4.31,1.24,FP
42.2477,-14.537283,164.059,46.626,2.4919771,1.4338141,2093.9594201,2.2187585,39.6452664,639.9817426,10.9473,37.8871,3948,4.68962,0.482388,PC
127.128017,-74.954728,-18.648,19.627,2.3923704,9.0225556,68.4085006,3.5452114,18015,2954.8,8.3902,309.932,6090,3.29864,3.96992,PC
180.325704,-60.200439,-6.538,-1.401,0.831542,1.985538,248.969585,1.881684,3776.6095365,1999.3796659,8.6014,1698.55,5824,4.438,1.1512,FP
116.594329,-64.056009,-194.669,171.244,2.6282142,1.8092522,88.1766181,1.1957903,955.8179402,1418.1218351,9.2397,113.758,6282,4.37809,1.10743,PC
30.508742,-83.227962,9.213,40.384,3.4238955,2.3266584,457.906177,2.0206985,294.31,1056.4,10.5924,134.757,5626,4.56195,0.823019,PC
30.508742,-83.227962,9.213,40.384,10.9829853,3.6811276,725.3212424,2.3454865,62.2123652,716.2900654,10.5924,134.757,5626,4.56195,0.823019,PC
73.541918,-70.379109,43.445,46.983,40.7192905,4.4250981,356.8661131,3.025015,47.1446558,668.3098574,9.597,173.833,5914,3.98,1.55953,PC
66.221959,-73.333516,-21.388,-39.668,79.3737538,5.38,1227,2.17338,3.14253,370,11.1762,144.133,5168.33,4.60584,0.77,FP
31.178933,-73.126759,83.342,94.563,18.1663638,2.7438885,624.4077092,3.1318509,62.0904043,715.938754,9.8135,133.335,5572.9,3.83,1.1393,PC
285.049519,-84.448187,18.399,12.092,19.1805928,3.763,550,2.22109,29.0951,611.01,10.0329,107.048,5262.4,3.98,0.94,PC
87.714849,-75.688563,36.729,80.421,4.5541064,7.9155737,181.5798801,0.8587484,54.8413674,694.0596841,11.546,99.5413,4280,4.61209,0.635812,PC
71.484109,-68.761805,7.985,13.172,13.7736751,2.847,250,1.67266,43.6633,716,10.3869,135.689,5455.96,4.46737,1.02,PC
72.332562,-67.368745,-0.018,9.008,1.9143003,4.5211702,142.6832508,1.9515726,4759.9774499,2118.4634398,10.1207,301.291,6734,4.18582,1.58753,PC
332.948236,-58.946085,138.138,-235.81,5.07803,1.09,4370,2.48083,4.01957,394,13.084,62.118,3318,4.9581,0.33,CP
107.921025,-65.508857,0.473,39.508,91.6830516,8.9812168,744.1588223,3.2072304,5.9944669,399.0776361,10.0564,138.411,5802,4.44521,1.01814,PC
99.224785,-63.079384,9.839,-1.893,10.1943985,2.132128,281.3594597,2.5069333,231.1117867,994.4324172,10.3014,226.932,6082,4.33287,1.32661,PC
117.214876,-63.720125,-19.934,27.4,14.6432351,2.7641614,245.4946099,3.8437058,391.2001499,1134.2779841,9.3109,237.7,6516,3.99366,2.04178,PC
37.197836,-80.899105,159.883,27.053,4.1782902,1.7271244,2628.1808822,2.2306587,13.9294193,492.7231896,11.556,37.3312,3442,4.893,0.404403,PC
97.166308,-64.596432,-19.835,5.896,13.8970314,3.6256004,698.8551513,2.3782952,52.3805133,686.1391293,11.7582,252.615,5522.87,4.67156,0.888163,PC
97.166308,-64.596432,-19.835,5.896,8.121321,3.0540074,638.4695619,2.4034257,107.2087497,820.6865338,11.7582,252.615,5522.87,4.67156,0.888163,PC
103.754836,-69.867129,-8.818,-3.172,3.9287887,1.5791822,511.1647215,2.245727,376.4608226,1123.4395174,11.5514,257.93,5668.15,4.52573,0.986943,PC
107.843685,-68.83334,-0.918,35.033,29.0501656,7.2817972,407.1501053,3.8317241,273.4266835,1037.1223018,9.0963,272.217,8208,4.25979,1.79626,PC
319.699588,-26.616374,23.236,-57.557,3.3089073,5.6661828,3989.1624702,17.225133,4557.4430737,2095.5598199,7.87598,161.498,6188,4.27166,2.62392,CP
156.74726,-52.467872,-89.046,361.603,24.2455822,3.2473526,6274.5310693,3.7097595,1.9506426,301.4145224,10.2565,27.6227,3535,4.84874,0.465271,PC
116.501399,-61.879794,-2.334,26.14,14.2491953,4.4463062,8100.8524829,10.1310443,90.111093,785.8041426,11.7835,328.604,5739,4.28235,1.09597,PC
186.574063,-51.363052,-70.434,-49.865,14.178442,3.8535846,846.3696748,2.6299422,53.8666032,690.9548141,8.6522,64.5978,5723.87,4.438,0.864173,CP
186.574063,-51.363052,-70.434,-49.865,19.593213,4.1710419,1161.2767003,3.2158326,34.9958645,620.3316374,8.6522,64.5978,5723.87,4.438,0.864173,CP
186.574063,-51.363052,-70.434,-49.865,6.2029868,2.9994478,697.8491315,2.4615556,162.1896478,910.1763199,8.6522,64.5978,5723.87,4.438,0.864173,CP
290.57223,26.319493,-29.235,-14.449,2.2645386,3.8193701,15019.9420903,5.1936764,34.1873897,616.7174475,13.7991,104.912,3443,4.81617,0.411471,PC
152.218255,69.27662,196.631,17.369,3.4447034,1.9369818,741.1249394,1.7265003,57.8703424,703.4508563,9.91924,39.6345,3912,4.62642,0.629575,CP
286.040876,36.632536,-32.207,-20.401,3.0300322,2.5171477,22261.4148091,12.762742,318.4636882,1077.4192474,11.0248,159.658,5242.82,4.52404,0.857369,CP
286.638391,39.487904,-0.455,6.169,12.7263564,2.4056813,1223.5068701,5.26101,226.9474924,989.9222749,10.2768,243.249,6212,4.17664,1.47768,CP
201.382339,68.836068,-4.963,-45.922,3.2937059,1.660436,1274.682613,2.288668,56.962266,700.6749061,11.2582,70.7145,3853,4.63168,0.62326,PC
201.382339,68.836068,-4.963,-45.922,0.764601,1.0185124,413.1662924,1.2803853,399.2582103,1140.0744516,11.2582,70.7145,3853,4.63168,0.62326,PC
158.011286,84.030377,-26.182,2.141,12.6395882,3.3995509,3197.1117931,4.4542972,39.6568578,640.0285166,10.7192,126.903,5217,4.59186,0.789425,CP
286.110305,43.680961,-1.691,7.017,1.7208607,1.9245678,11939.6025263,14.8066844,2259.3803967,1758.3976256,13.8046,1086.24,5832.83,4.20893,1.33402,CP
289.73973,44.647347,2.831,-10.813,4.779966,1.511869,1484.953475,9.180808,1770.342203,1654.3328361,11.1634,546.522,5826,3.7213,2.33872,PC
248.553295,60.195927,1.525,-39.808,0.3814813,0.868033,578.4552381,1.6836392,1840.0651318,1670.4291055,11.598,110.015,4255,4.55641,0.711609,PC
135.732641,71.636416,-100.404,-142.946,4.6596724,0.8567368,1940.0921067,2.36031,17.2656355,519.8947017,11.1966,43.1865,3489,4.74553,0.490729,PC
256.279559,69.519093,-56.411,-66.5,6.4001485,2.2717245,1058.6924753,2.5288334,56.438435,699.0584509,11.0157,102.551,4599,4.58487,0.720551,PC
283.53553,69.633534,-9.435,54.067,4.8204186,2.1017218,2096.2325496,2.7226706,22.6352821,556.3091812,12.1819,80.0982,3692,4.71598,0.524555,PC
251.11587,70.429992,-48.024,81.928,18.6603264,3.930748,1429.0217207,3.3053733,27.821252,585.7521848,11.1802,169.422,5141,4.49143,0.876154,PC
251.11587,70.429992,-48.024,81.928,4.307437,2.1666375,1104.10179,2.9199317,196.476409,954.8768238,11.1802,169.422,5141,4.49143,0.876154,PC
251.11587,70.429992,-48.024,81.928,5.904144,2.9718626,775.597743,2.7732512,129.0406065,859.609781,11.1802,169.422,5141,4.49143,0.876154,PC
251.11587,70.429992,-48.024,81.928,37.9179951,3.6018338,1452.1381491,3.3212074,10.809572,462.45755,11.1802,169.422,5141,4.49143,0.876154,PC
227.867864,71.841296,-189.064,80.263,15.9234731,4.2961651,537.5607186,2.5444495,70.9209848,740.1392555,8.4724,73.8713,5711.85,4.38315,1.07587,PC
259.023592,63.105607,-2.867,-81.029,4.3601427,2.2680749,5615.3991084,6.7533874,202.0745768,961.6071172,11.1153,168.735,5227,4.50479,0.874131,PC
200.561576,66.308533,-14.785,-46.313,13.0783,2.893,990,3.14803,31.4454,659,10.2108,139.49,5453,4.41707,1,PC
23.593425,-66.676349,-119.8,-122.953,4.65183,2.68,930,2.64543,205.309,1054,10.1985,111.059,5154,4.47072,0.85,CP
23.593425,-66.676349,-119.8,-122.953,9.1654769,3.4022073,923.846023,3.0568098,73.2347252,746.1033905,10.1985,111.059,5154,4.47072,0.852266,CP
23.593425,-66.676349,-119.8,-122.953,19.981866,2.991231,1046.211139,2.899664,26.945604,581.0877636,10.1985,111.059,5154,4.47072,0.89927,CP
266.686079,70.784502,-10.63,26.99,1.1219491,0.9561566,5372.6180551,5.375238,1132.4914846,1479.5460466,12.0623,123.8346,5780,4.67672,0.624,PC
