ra,dec,signal.noise,mag.u,mag.g,mag.r,mag.i,mag.z,log.g,metallicity,temperature,velocity.los
260.0775,57.7669722222222,7.2,20.9396362304688,19.3018760681152,18.6589756011963,18.3612174987793,18.2198371887207,1.2,-2.02,4759,-302.7
260.098916666667,57.4006944444444,4.8,21.4417724609375,19.8497905731201,19.1727600097656,18.9068031311035,18.7601509094238,5,-1.25,5070,-63
260.121416666667,57.4174722222222,12.8,19.3897762298584,18.1738548278809,17.7109603881836,17.5256290435791,17.4293594360352,4.2,-0.67,5694,-187.9
259.979416666667,57.5500555555556,5,21.0310707092285,19.9317951202393,19.3082027435303,19.0332832336426,18.834997177124,3,-2.4,6454,-277.8
259.979416666667,57.5500555555556,4.4,21.0310707092285,19.9317951202393,19.3082027435303,19.0332832336426,18.834997177124,2.6,-1.91,6600,-275.4
260.257291666667,57.4774444444444,25.2,19.3373565673828,17.2462882995605,16.3964538574219,16.0486240386963,15.8424434661865,1.7,-1.04,4789,-156.6
260.131916666667,57.8486388888889,8.5,20.5553112030029,18.7138862609863,17.9273662567139,17.564058303833,17.3733329772949,1,-1.96,4554,-290.1
260.213166666667,57.6372777777778,6.4,20.7939338684082,19.0675678253174,18.3669528961182,18.0485038757324,17.8868026733398,1.4,-2.29,4658,-301.4
260.283875,57.46575,5.5,20.1855068206787,19.0793685913086,18.5921630859375,18.380199432373,18.3173732757568,2.5,-1.98,4905,-107.1
260.128958333333,57.49975,6.5,20.4852619171143,18.9259128570557,18.2002696990967,17.8803424835205,17.736515045166,5,-1.11,5199,-166.3
260.128958333333,57.49975,4.6,20.4852619171143,18.9259128570557,18.2002696990967,17.8803424835205,17.736515045166,5.2,-0.61,5127,-164.8
260.128958333333,57.49975,8.2,20.4852619171143,18.9259128570557,18.2002696990967,17.8803424835205,17.736515045166,5.4,-0.51,5285,-164.9
260.128958333333,57.49975,6.1,20.4852619171143,18.9259128570557,18.2002696990967,17.8803424835205,17.736515045166,5.1,-0.28,5258,-164.5
260.231333333333,57.7428888888889,4.3,20.660924911499,19.1440334320068,18.4416351318359,18.1483554840088,17.9570655822754,1.6,-2.28,4922,-302.1
260.172916666667,57.7991111111111,5.3,20.7020702362061,19.1950931549072,18.548376083374,18.2447738647461,18.0718021392822,2.6,-1.58,5443,-288.2
260.172916666667,57.7991111111111,9.1,20.7020702362061,19.1950931549072,18.548376083374,18.2447738647461,18.0718021392822,1.2,-2.55,4881,-288
260.397,57.5901388888889,13.6,18.9195251464844,17.5021114349365,16.927848815918,16.6556301116943,16.5348033905029,2.8,-1.83,5252,-116.4
260.397,57.5901388888889,14.4,18.9195251464844,17.5021114349365,16.927848815918,16.6556301116943,16.5348033905029,2.2,-1.55,5004,-117.7
260.265375,57.6650555555556,2.9,21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525,3.3,-1.9,5536,-292.3
260.265375,57.6650555555556,1.4,21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525,2,-1.3,5196,-292.8
260.265375,57.6650555555556,4.4,21.4683952331543,20.1044101715088,19.498722076416,19.1860618591309,19.2029819488525,3,-2.3,5140,-290.3
