ra,dec,flux_1_100_gev,detection_significance,spectrum_type,pivot_energy,energy_flux,pl_flux_density,pl_index,lp_flux_density,lp_index,lp_beta,plec_flux_density,plec_index,plec_exp_factor,plec_exp_index,plec_curve_significance,npred,variability_index,frac_variability,source_type
246.1,-39.8666666666667,1.2505e-09,14.3622,LogParabola,1625.44,7.4862e-12,4.4055e-13,2.368,5.985e-13,2.1232,0.3575,5.8962e-13,1.0692,0.00999,0.6667,5.29,951.92,9.372034,0,NOT_BLL
148.846666666667,-39.8205555555556,1.3065e-09,26.5467,LogParabola,868.95,1.1373e-11,2.3457e-12,2.4399,2.9306e-12,2.2529,0.2757,2.8323e-12,1.6285,0.00927,0.6667,6.84,1959.03,13.069991,0.1035,NOT_BLL
258.39,-39.76,4.8965e-09,25.9972,LogParabola,9094.86,7.0245e-11,9.306e-14,1.712,1.0271e-13,1.6068,0.0625,9.8038e-14,1.5408,0.00023,0.6667,2.75,2322.16,4.359416,0,NOT_BLL
263.372083333333,-39.725,8.1769e-10,10.3464,PowerLaw,2749.75,9.4017e-12,1.062e-13,2.2093,1.1238e-13,2.1983,0.0379,1.0893e-13,2.1425,3e-04,0.6667,0.57,796.06,15.861355,0.3839,NOT_BLL
257.594583333333,-39.7222222222222,3.8782e-09,13.2243,LogParabola,1359.52,3.5739e-11,2.0977e-12,2.6192,3.0809e-12,2.5945,0.2956,3.0439e-12,1.6104,0.00998,0.6667,6.59,2432.92,10.210716,0.1171,NOT_BLL
83.2,-39.6852777777778,4.3802e-10,19.0543,PowerLaw,614.71,7.2401e-12,2.4581e-12,2.5906,2.5647e-12,2.5705,0.0367,2.48e-12,2.565,0.00032,0.6667,0.33,1509.18,40.63414,0.3862,NOT_BLL
270.67125,-39.6686111111111,4.8392e-09,65.0255,LogParabola,846.88,4.7998e-11,9.1684e-12,2.3674,1.0381e-11,2.264,0.129,9.9942e-12,2.019,0.00358,0.6667,8.29,6517.28,3170.663086,1.3381,NOT_BLL
93.1416666666667,-39.5825,1.5143e-10,5.5676,PowerLaw,1071.87,2.2426e-12,1.916e-13,2.5046,2.1434e-13,2.288,0.156,2.1201e-13,1.8889,0.00481,0.6667,1.33,442.53,19.699594,0.663,NOT_BLL
208.43875,-39.6158333333333,6.2519e-11,4.3579,PowerLaw,11536.51,8.588e-13,7.2469e-16,1.6866,1.2233e-15,1.4229,0.4138,1.08e-15,0.6758,0.002,0.6667,1.54,53.3,12.138174,0,NOT_BLL
230.81625,-39.6911111111111,2.0236e-10,4.6721,PowerLaw,1105.43,2.7991e-12,2.2902e-13,2.4447,3.473e-13,2.4557,0.4304,3.4204e-13,1.099,0.01676,0.6667,2.29,435.51,13.401484,0.4198,NOT_BLL
211.665416666667,-39.5727777777778,9.5817e-11,6.7153,PowerLaw,14707.37,1.5413e-12,8.8426e-16,1.5527,1.4671e-15,1.1894,0.4422,1.3669e-15,0.235,0.00219,0.6667,2.46,73.26,27.004478,0.8517,BLL
