ra,dec,redshift,umag,gmag,rmag,imag,zmag,nmag,gal_abs_u,log_nh_gal
28.4972,-10.4060277777778,0.6466,18.597,18.292,18.299,18.286,18.365,18.609,0.104,20.326
3.0759,-10.4005833333333,1.6002,19.595,19.296,19.307,19.156,19.157,20.573,0.183,20.464
2.87577083333333,-10.3982916666667,0.3376,19.432,19.323,19.025,18.957,18.453,20.129,0.185,20.465
28.7697375,-10.3912222222222,1.5481,17.753,17.457,17.355,17.151,17.164,18.646,0.105,20.314
0.259116666666667,-10.3908222222222,0.2943,18.984,18.69,18.326,18.24,17.66,19.082,0.216,20.449
3.100075,-10.3740277777778,0.2282,17.33,17.235,16.976,16.607,16.74,17.939,0.19,20.464
1.92469166666667,-10.3730916666667,1.2635,19.463,19.053,18.924,19.007,19.032,19.848,0.175,20.461
25.4982791666667,-10.3724305555556,1.9902,19.571,19.429,19.428,19.21,19.144,22.11,0.146,20.401
29.5955083333333,-10.3699027777778,1.8437,19.331,19.243,19.167,18.892,18.865,20.394,0.113,20.297
0.2108375,-10.3655305555556,2.6402,19.454,18.422,18.392,18.309,17.937,21.994,0.207,20.449
5.25536666666667,-10.3437694444444,1.28,19.411,19.437,19.159,19.09,19.176,19.693,0.191,20.494
359.545333333333,-10.3357583333333,1.6391,19.025,18.776,18.672,18.42,18.344,20.786,0.182,20.436
4.58669583333333,-10.3356111111111,1.6498,20.419,20.164,20.135,19.806,19.741,21.364,0.187,20.491
4.88575833333333,-10.319425,0.565,20.708,20.392,20.348,20.204,20.059,21.383,0.173,20.493
25.9228375,-10.2725916666667,1.5955,19.261,19.061,18.945,18.733,18.625,20.332,0.127,20.401
9.65917916666667,-10.26625,2.1104,19.412,19.24,19.063,18.935,18.74,23.706,0.166,20.415
9.19635416666667,-10.2609777777778,1.3768,18.63,18.635,18.378,18.346,18.325,20.123,0.158,20.42
5.317875,-10.2557833333333,1.4046,19.254,19.225,19.042,18.975,19.091,20.695,0.188,20.501
349.998566666667,-10.255225,1.3293,18.659,18.487,18.304,18.319,18.434,18.996,0.143,20.427
359.382275,-10.2520472222222,1.2875,18.626,18.618,18.341,18.329,18.382,19.253,0.167,20.433
26.856275,-10.2441611111111,2.1296,17.772,17.398,17.25,17.085,16.921,24.132,0.178,20.391
359.629495833333,-10.2205611111111,2.1005,19.375,19.236,19.172,19.162,19.126,20.255,0.193,20.439
5.35910416666667,-10.2129888888889,0.3153,18.773,18.78,18.667,18.793,18.107,19.2,0.187,20.504
2.30746666666667,-10.2129833333333,0.6144,19.694,19.191,19.279,18.998,18.999,19.7,0.191,20.473
9.1413875,-10.208,2.0821,18.536,18.323,18.184,18.027,17.85,21.393,0.169,20.423
339.995725,-10.20745,1.2134,20.11,19.783,19.296,19.215,19.333,21.93,0.47,20.698
338.753083333333,-10.2046833333333,0.5535,17.61,17.399,17.458,17.375,17.425,17.879,0.3,20.689
2.62465,-10.1959833333333,1.7516,19.149,19.201,19.126,18.825,18.796,20.201,0.19,20.474
342.600158333333,-10.187675,0.9298,18.569,18.35,18.092,18.149,18.095,18.586,0.268,20.594
29.2096,-10.1727277777778,1.2955,19.28,19.133,18.857,18.844,18.832,20.281,0.116,20.31
358.887133333333,-10.1675472222222,1.3767,19.363,19.206,18.948,18.902,18.881,20.144,0.174,20.435
340.294579166667,-10.1491166666667,1.5839,20.13,19.442,18.905,18.503,18.357,20.901,0.339,20.694
4.54643333333333,-10.1486472222222,1.0119,18.934,18.763,18.532,18.77,18.763,20.156,0.206,20.497
8.28337083333333,-10.1476388888889,1.4072,18.657,18.627,18.425,18.33,18.339,19.576,0.153,20.444
28.4389708333333,-10.1443111111111,1.9123,19.548,19.345,19.285,18.841,18.791,22.894,0.125,20.344
8.23155,-10.1430416666667,1.2802,19.445,19.612,19.226,19.143,19.214,20.322,0.155,20.446
358.2607625,-10.1378972222222,2.6124,18.839,18.293,18.191,18.1,18.002,20.003,0.211,20.438
9.2382375,-10.1362861111111,0.1877,17.929,17.812,17.485,17.044,16.938,18.129,0.179,20.425
26.4282333333333,-10.1354805555556,1.4629,18.903,18.319,17.814,17.519,17.452,20.184,0.161,20.401
25.5657208333333,-10.1238222222222,0.4123,19.117,18.708,18.924,18.743,18.261,19.064,0.145,20.42
358.5819625,-10.121825,1.7456,18.632,18.452,18.424,18.18,18.114,19.517,0.194,20.436
5.94184583333333,-10.11615,1.6916,19.107,18.93,18.901,18.65,18.566,20.023,0.235,20.507
340.256025,-10.114,1.4971,18.997,18.385,17.983,17.696,17.65,20.488,0.336,20.692
340.711833333333,-10.1136527777778,1.5593,19.594,19.209,19.07,18.859,18.92,20.687,0.25,20.678
9.79034166666667,-10.11085,1.784,18.744,18.585,18.468,18.132,18.013,20.796,0.18,20.422
359.086829166667,-10.0814111111111,1.4022,18.693,18.684,18.384,18.278,18.332,19.183,0.158,20.433
6.10573333333333,-10.0791833333333,1.6988,19.746,19.516,19.489,19.313,19.282,20.955,0.207,20.505
4.07100833333333,-10.0720111111111,2.4443,19.803,19.213,19.175,19.139,19.01,21.172,0.202,20.489
342.535633333333,-10.0710444444444,0.4263,19.978,19.67,19.432,19.12,18.824,19.858,0.265,20.592
342.958095833333,-10.0661083333333,2.3487,19.052,18.44,18.419,18.329,18.097,20.952,0.256,20.58
349.849316666667,-10.0605166666667,1.9444,18.068,18.07,18.073,17.836,17.725,20.538,0.152,20.431
349.814191666667,-10.0526722222222,1.5707,19.298,19.005,18.947,18.73,18.757,19.953,0.157,20.431
5.25399583333333,-10.0511805555556,2.0935,18.734,18.708,18.623,18.512,18.311,20.495,0.206,20.504
0.456358333333333,-10.0477194444444,0.3577,19.259,19.214,19.101,19.041,18.489,19.634,0.214,20.462
2.57297083333333,-10.0441388888889,1.819,19.394,19.263,19.234,18.925,18.837,21.071,0.189,20.48
338.058208333333,-10.0435944444444,1.7813,18.296,18.204,18.13,17.905,17.924,19.143,0.247,20.681
9.96415,-10.0400583333333,1.1207,18.851,18.706,18.463,18.569,18.727,19.154,0.156,20.423
26.147675,-10.0321777777778,1.8539,18.777,18.689,18.654,18.367,18.408,20.709,0.143,20.415
3.13595416666667,-10.0257083333333,0.4186,20.365,19.886,19.563,19.267,18.772,21.038,0.187,20.48
349.816995833333,-10.0237666666667,0.9331,19.667,19.404,19.121,19.131,19.032,19.972,0.158,20.431
338.453579166667,-10.01615,1.6626,19.47,19.25,19.132,18.94,18.962,20.141,0.315,20.679
342.727254166667,-10.0136666666667,0.7199,18.615,18.403,18.298,18.275,18.289,18.905,0.261,20.585
0.206108333333333,-10.0121805555556,1.1375,21.713,21.082,20.484,20.345,19.771,21.698,0.183,20.455
28.3506583333333,-10.0096527777778,0.3609,17.574,17.511,17.605,17.745,17.149,17.641,0.115,20.354
339.197254166667,-10.0090138888889,1.4222,19.196,18.827,18.586,18.508,18.486,20.351,0.332,20.694
0.8167,-9.99771111111111,1.4284,19.701,19.696,19.467,19.262,19.326,20.294,0.185,20.483
2.34020833333333,-9.996975,1.5356,19.507,19.199,19.095,18.852,19.064,19.681,0.212,20.481
340.3431625,-9.99625277777778,1.3435,18.949,18.921,18.591,18.514,18.552,20.166,0.29,20.686
3.05913333333333,-9.98971388888889,1.2628,19.672,19.453,18.865,18.551,18.275,21.144,0.176,20.481
26.311125,-9.98642777777778,1.5609,19.293,18.77,18.436,18.148,18.107,20.319,0.155,20.415
9.03932916666667,-9.98563611111111,1.711,19.919,19.691,19.575,19.243,19.273,21.503,0.182,20.431
4.24893333333333,-9.98431388888889,1.177,20.174,19.773,19.409,19.179,19.201,21.18,0.201,20.494
338.285733333333,-9.98242777777778,1.8762,19.704,19.342,19.06,18.767,18.627,21.145,0.275,20.675
2.06387916666667,-9.98177222222222,1.9498,19.213,18.847,18.383,18.001,17.934,21.167,0.205,20.477
358.696016666667,-9.97726388888889,1.7421,19.818,19.522,19.349,19.142,19.1,21.533,0.184,20.436
10.148625,-9.97123888888889,1.3017,18.901,19.095,18.73,18.69,18.738,19.56,0.163,20.428
