u.mag,g.mag,r.mag,i.mag,z.mag,redshift,redshift.err,class
20.72582,20.22901,20.22502,20.1928,19.9144,2.260195,0.0004496071,QSO
19.79806,19.22322,19.07632,18.83182,18.53335,2.230372,0.000465628,QSO
21.78181,20.05223,19.57557,19.25037,19.2529,2.884592,0.0002820218,QSO
21.9711,20.64288,20.2239,19.91748,19.40287,2.468752,0.0005305135,QSO
20.82191,19.18558,18.92512,18.63596,18.52565,2.864185,0.0002260543,QSO
25.32799,20.14077,19.38512,19.19052,19.05316,3.463837,0.0003422162,QSO
21.74547,19.70919,19.30569,19.22955,19.19922,3.364491,0.0007263859,QSO
19.75123,19.13489,19.0324,19.00534,18.71454,2.462917,0.0001952601,QSO
19.33262,18.69545,18.50205,18.43425,18.22231,2.461047,0.0003577832,QSO
19.83313,19.12541,18.8813,18.4604,17.73652,2.300275,0.0003625684,QSO
19.4973,18.7004,18.73424,18.68173,18.48838,2.520701,0.000139722,QSO
21.75824,19.862,19.72268,19.70765,19.649,3.082065,0.0001792122,QSO
23.52806,20.83191,20.52637,20.0936,19.92938,3.262631,0.001760318,QSO
19.4001,18.83189,18.69907,18.68509,18.52871,2.245182,0.0003439221,QSO
23.56088,20.11197,19.47129,19.28514,18.90326,3.201397,0.001215606,QSO
19.55625,19.30498,19.40168,19.55689,19.60309,2.24207,0.000597197,QSO
21.08342,20.35974,20.42274,20.39224,20.2047,2.43059,0.001470798,QSO
21.72645,20.80937,20.09628,19.63801,19.21953,2.631598,0.0008785087,QSO
19.85517,19.38406,19.21263,19.13974,18.99208,2.227791,0.0003643694,QSO
19.17193,18.58137,18.3706,18.27307,18.04491,2.246462,0.0006091267,QSO
24.22137,20.77155,19.84583,19.22886,18.67827,3.184664,0.001802627,QSO
19.80959,19.21181,19.18794,19.12532,18.82476,2.540967,0.0002400792,QSO
19.7678,19.02748,18.98107,18.90292,18.62467,2.391469,0.0003023242,QSO
19.88102,19.42296,19.35822,19.33435,19.12937,2.348067,0.0005490579,QSO
19.28413,18.58339,18.46518,18.48064,18.30372,2.478707,0.0004938316,QSO
19.25216,18.73783,18.64521,18.56256,18.35593,2.2035,0.0003551704,QSO
20.16039,19.86169,19.75361,19.59098,19.35746,2.792402,0.0007428761,QSO
20.49302,20.03982,19.74993,19.79194,19.76969,2.497976,0.0002004887,QSO
21.35064,20.38363,20.02808,20.15626,19.85747,2.697806,0.0003061548,QSO
22.04162,20.29372,20.00785,19.96128,19.89273,2.933707,0.0003251981,QSO
21.4201,20.08371,19.19261,18.75483,18.23344,2.260266,0.0008346495,QSO
19.58179,18.33782,18.17471,18.13603,18.12143,2.841014,0.0002625346,QSO
22.531,20.72132,20.34762,20.16664,20.04126,3.071486,0.0005815424,QSO
23.34431,20.72748,20.55289,20.22416,19.84823,2.831414,0.0004931515,QSO
19.65496,19.04762,19.04833,19.0668,18.89879,2.280948,0.0002787484,QSO
22.88247,21.48804,20.70755,20.51233,20.46244,2.336934,5.068929e-05,QSO
21.86596,20.13709,19.91884,19.96347,19.91299,2.985915,0.0002913337,QSO
20.68216,20.13531,20.13754,19.97313,19.66727,2.257598,0.0005432805,QSO
22.64814,19.95069,19.72566,19.69711,19.79284,3.161435,0.0002778085,QSO
20.0378,19.51217,19.39787,19.09746,18.89811,2.264136,0.0001349858,QSO
19.9646,19.24884,19.21302,19.04687,18.825,2.313004,0.0003797851,QSO
20.54135,19.82778,19.19396,19.1787,19.05101,2.501589,0.000353865,QSO
22.11462,20.78278,20.78738,20.67961,19.93841,2.508528,0.0001613318,QSO
21.02518,19.54559,19.20164,19.10118,19.00698,3.059109,0.0006634824,QSO
22.72758,21.58017,20.969,20.53092,19.71326,2.48761,0.001892584,QSO
21.8884,20.60153,20.32283,20.17762,19.6856,2.639905,0.0007259342,QSO
21.41348,19.63275,19.30849,18.85994,18.29202,2.619685,0.0003942664,QSO
21.91933,20.98895,20.63643,19.95285,19.71911,2.208862,0.001095122,QSO
21.39622,20.30991,20.01436,19.86764,19.44384,2.399638,0.0004600256,QSO
21.15126,20.2232,19.67032,19.57432,19.27546,2.396997,0.0004623837,QSO
20.61541,20.17404,20.50296,20.16726,20.10625,2.224853,0.0003147715,QSO
21.66756,19.91273,19.51849,19.22088,18.80919,2.695493,0.0001710741,QSO
20.65423,20.01999,20.13126,20.11394,19.76418,2.379236,0.0003124489,QSO
23.0193,18.77992,18.06129,17.9084,17.78774,3.326056,0.0004837172,QSO
21.90602,21.17097,20.46947,20.00941,19.55097,2.256372,0.001760823,QSO
21.50048,19.77305,19.46434,19.32295,19.20919,2.854658,0.0001468832,QSO
18.55773,18.01678,17.87884,17.79677,17.55951,2.287635,0.0002755397,QSO
19.59266,19.19027,19.10525,19.05558,18.82027,2.20017,0.0002784846,QSO
21.15262,20.49753,20.39803,20.17869,19.75257,2.258321,0.0003899034,QSO
20.4409,19.72106,19.30987,19.1348,18.742,2.52312,0.0006657774,QSO
22.3942,20.55523,19.84138,19.08479,18.71724,2.915032,0.0005978778,QSO
21.89487,19.55779,19.3018,19.37281,19.36315,3.207977,0.000165826,QSO
19.11682,18.54098,18.48338,18.48462,18.27007,2.33886,0.0003348526,QSO
21.82436,20.714,20.57499,20.4183,19.89149,2.618967,0.0010271,QSO
21.16159,19.25126,19.11503,19.05246,18.91506,3.133302,0.0002064486,QSO
20.99253,20.23584,20.09846,20.01058,19.76078,2.655061,0.0005187205,QSO
20.40578,19.1517,18.40948,18.06911,17.61397,2.336281,0.0001076341,QSO
19.70071,18.92776,18.91698,18.85982,18.60355,2.419208,0.0001630634,QSO
23.14967,18.87884,18.27481,18.11612,18.04891,3.38874,0.00056127,QSO
21.50923,20.48381,20.08647,19.9508,19.39984,2.471302,0.0004960404,QSO
20.14839,19.54595,19.32217,19.19772,19.04633,2.411401,0.0005302716,QSO
18.93606,18.41136,18.20622,18.23021,18.09452,2.243285,0.0004800999,QSO
19.41981,18.96768,19.02413,18.82144,18.63201,2.212246,0.0001570565,QSO
21.80178,19.09257,18.64327,18.51389,18.47368,3.22713,0.0007530722,QSO
19.23696,18.61894,18.42008,18.4284,18.21479,2.450515,0.0004330433,QSO
21.14276,20.67507,20.53694,20.33165,19.91365,3.251993,0.0005623846,QSO
20.07776,19.58515,19.29601,19.23516,18.93768,2.260152,0.0006429324,QSO
20.41583,20.12141,20.18377,20.06057,19.65194,2.203416,0.0004459101,QSO
19.44621,18.90721,18.78823,18.71161,18.36735,2.299224,0.0006380061,QSO
21.73798,19.94555,19.73172,19.91686,19.69949,2.986245,0.0004097948,QSO
22.89698,20.48527,20.20033,20.24907,20.04499,3.247634,0.0005256095,QSO
21.15779,20.1787,19.9293,20.15509,20.11722,3.016406,0.000271441,QSO
20.08222,19.37982,19.15975,19.00624,18.6678,2.240248,0.0003251352,QSO
19.48865,19.01814,18.85765,18.6251,18.60766,2.45329,0.0008127849,QSO
19.85705,19.32358,19.15844,19.16454,19.06463,2.274167,0.0002674163,QSO
21.94519,20.77718,20.26457,20.05211,19.58945,2.667693,0.0007217443,QSO
19.34427,18.32042,18.19183,17.96861,17.68027,2.664592,0.0001874012,QSO
23.10957,19.17602,18.64914,18.52905,18.44136,3.312788,0.0004345968,QSO
21.61339,18.76975,18.18677,18.05895,18.02823,3.092296,0.0003520203,QSO
22.79817,21.86417,21.01361,20.62212,19.88958,2.424642,0.0008335016,QSO
21.69098,19.70075,19.37576,19.23237,19.16029,3.338699,0.0002487271,QSO
20.99849,20.40232,20.21769,20.50015,20.40989,2.608956,0.0005703075,QSO
21.78384,20.7098,20.49196,20.11563,19.581,2.311893,0.0003983372,QSO
18.96856,18.30154,18.21264,18.17199,17.94467,2.533844,0.0002664816,QSO
